size,w,h,count
118x111,118,111,1
118x118,118,118,1
118x230,118,230,1
1191x893,1191,893,1
1191x907,1191,907,1
119x144,119,144,1
119x180,119,180,1
1200x1123,1200,1123,1
1200x1206,1200,1206,1
1200x1600,1200,1600,9
1200x799,1200,799,1
1200x800,1200,800,4
1200x812,1200,812,1
1200x900,1200,900,5
1204x903,1204,903,1
120x104,120,104,1
120x120,120,120,8
120x126,120,126,1
120x131,120,131,1
120x160,120,160,1
120x203,120,203,1
120x212,120,212,1
120x63,120,63,1
120x71,120,71,1
120x74,120,74,1
120x78,120,78,1
120x79,120,79,1
120x80,120,80,2
120x94,120,94,1
1216x1052,1216,1052,1
121x100,121,100,1
121x94,121,94,1
1229x819,1229,819,1
123x123,123,123,1
123x128,123,128,2
123x299,123,299,1
123x98,123,98,1
1240x744,1240,744,1
124x87,124,87,1
125x100,125,100,1
125x124,125,124,1
125x125,125,125,3
125x144,125,144,1
125x179,125,179,1
125x59,125,59,1
125x83,125,83,1
125x84,125,84,1
125x90,125,90,1
125x93,125,93,2
1262x585,1262,585,1
126x126,126,126,1
126x282,126,282,1
1277x1999,1277,1999,1
127x128,127,128,1
1280x1024,1280,1024,4
1280x720,1280,720,1
1280x852,1280,852,1
1280x960,1280,960,14
1280x986,1280,986,1
1285x790,1285,790,1
1289x933,1289,933,1
128x104,128,104,1
128x106,128,106,1
128x119,128,119,1
128x126,128,126,1
128x140,128,140,1
128x160,128,160,1
128x192,128,192,1
128x325,128,325,1
128x73,128,73,1
128x96,128,96,3
1296x776,1296,776,1
1296x972,1296,972,2
129x112,129,112,1
129x92,129,92,1
129x96,129,96,1
130x130,130,130,2
130x155,130,155,1
130x160,130,160,1
130x163,130,163,1
130x320,130,320,1
130x58,130,58,1
130x86,130,86,2
130x92,130,92,1
130x98,130,98,3
1317x914,1317,914,1
1320x990,1320,990,1
1327x924,1327,924,1
1329x1273,1329,1273,1
132x90,132,90,1
133x100,133,100,2
133x134,133,134,1
133x200,133,200,1
133x99,133,99,1
134x250,134,250,1
1350x900,1350,900,1
1350x996,1350,996,1
1358x640,1358,640,1
135x100,135,100,1
135x101,135,101,2
135x112,135,112,1
135x125,135,125,1
135x127,135,127,1
135x135,135,135,2
135x181,135,181,1
135x240,135,240,1
1360x890,1360,890,1
1362x945,1362,945,1
136x157,136,157,1
137x100,137,100,1
137x103,137,103,3
137x91,137,91,1
137x94,137,94,1
1383x1451,1383,1451,1
1386x2426,1386,2426,1
139x150,139,150,1
139x207,139,207,1
1400x1050,1400,1050,1
1400x1091,1400,1091,1
1400x1400,1400,1400,1
1401x957,1401,957,1
140x101,140,101,1
140x140,140,140,4
140x95,140,95,1
141x160,141,160,1
141x202,141,202,1
1425x368,1425,368,1
1428x1071,1428,1071,1
1429x1010,1429,1010,1
142x192,142,192,1
142x285,142,285,1
142x400,142,400,1
142x89,142,89,1
143x128,143,128,1
143x180,143,180,1
144x108,144,108,2
144x130,144,130,1
145x102,145,102,1
145x127,145,127,1
145x150,145,150,1
145x336,145,336,1
145x97,145,97,1
146x123,146,123,1
146x150,146,150,1
1476x1000,1476,1000,1
147x80,147,80,1
1480x902,1480,902,1
148x160,148,160,1
1496x2083,1496,2083,1
1497x1213,1497,1213,1
149x200,149,200,1
149x250,149,250,1
1500x1000,1500,1000,1
1500x1024,1500,1024,1
150x100,150,100,1
150x102,150,102,1
150x107,150,107,1
150x108,150,108,1
150x110,150,110,1
150x112,150,112,3
150x113,150,113,6
150x114,150,114,1
150x117,150,117,1
150x118,150,118,1
150x119,150,119,1
150x127,150,127,1
150x128,150,128,1
150x130,150,130,1
150x132,150,132,2
150x140,150,140,1
150x144,150,144,1
150x150,150,150,6
150x180,150,180,3
150x181,150,181,1
150x185,150,185,1
150x186,150,186,1
150x190,150,190,1
150x200,150,200,4
150x225,150,225,5
150x240,150,240,1
150x250,150,250,1
150x271,150,271,1
150x53,150,53,1
150x95,150,95,1
150x98,150,98,1
150x99,150,99,1
151x209,151,209,1
151x216,151,216,1
1524x1019,1524,1019,1
152x160,152,160,1
152x180,152,180,1
152x300,152,300,1
152x97,152,97,1
1533x2055,1533,2055,1
1536x1024,1536,1024,3
1536x2048,1536,2048,2
153x135,153,135,1
153x188,153,188,1
1544x1024,1544,1024,1
154x160,154,160,1
154x200,154,200,1
155x109,155,109,1
1561x2112,1561,2112,1
156x160,156,160,1
156x200,156,200,1
157x136,157,136,1
157x207,157,207,1
157x208,157,208,1
158x150,158,150,1
158x242,158,242,1
1592x1052,1592,1052,1
1593x1950,1593,1950,1
159x109,159,109,1
159x179,159,179,1
159x240,159,240,1
1600x1041,1600,1041,1
1600x1061,1600,1061,1
1600x1065,1600,1065,1
1600x1067,1600,1067,4
1600x1068,1600,1068,1
1600x1087,1600,1087,1
1600x1200,1600,1200,21
1600x1202,1600,1202,1
1600x913,1600,913,1
160x104,160,104,1
160x106,160,106,1
160x107,160,107,1
160x109,160,109,1
160x119,160,119,2
160x120,160,120,12
160x123,160,123,1
160x126,160,126,1
160x127,160,127,1
160x128,160,128,1
160x132,160,132,1
160x142,160,142,1
160x152,160,152,1
160x154,160,154,1
160x157,160,157,1
160x160,160,160,8
160x170,160,170,3
160x174,160,174,1
160x176,160,176,1
160x240,160,240,5
160x250,160,250,1
160x288,160,288,1
160x50,160,50,1
160x71,160,71,1
160x92,160,92,1
160x95,160,95,1
161x240,161,240,1
162x148,162,148,1
162x210,162,210,1
162x300,162,300,1
163x107,163,107,1
163x243,163,243,1
164x124,164,124,1
1655x1082,1655,1082,1
165x248,165,248,1
166x100,166,100,1
166x238,166,238,1
166x250,166,250,1
167x125,167,125,1
167x131,167,131,1
1680x1050,1680,1050,1
168x168,168,168,1
168x224,168,224,1
169x400,169,400,1
1704x2272,1704,2272,1
170x113,170,113,1
170x135,170,135,1
170x136,170,136,1
170x150,170,150,1
170x170,170,170,1
170x210,170,210,1
170x255,170,255,1
1712x1253,1712,1253,1
1712x686,1712,686,1
1716x1776,1716,1776,1
1718x939,1718,939,1
1720x1160,1720,1160,1
172x132,172,132,1
173x216,173,216,1
174x225,174,225,1
175x125,175,125,1
175x175,175,175,2
175x183,175,183,1
175x184,175,184,1
175x247,175,247,1
176x110,176,110,1
176x144,176,144,1
176x198,176,198,1
176x200,176,200,2
176x220,176,220,1
176x237,176,237,1
177x170,177,170,1
177x252,177,252,1
178x133,178,133,1
178x136,178,136,1
178x238,178,238,1
178x267,178,267,1
178x340,178,340,1
179x160,179,160,1
179x207,179,207,1
1800x1920,1800,1920,1
180x101,180,101,1
180x124,180,124,1
180x135,180,135,5
180x136,180,136,1
180x141,180,141,1
180x145,180,145,1
180x180,180,180,5
180x191,180,191,1
180x192,180,192,1
180x201,180,201,1
180x220,180,220,1
180x240,180,240,12
180x253,180,253,1
180x377,180,377,1
181x193,181,193,1
183x132,183,132,1
183x178,183,178,1
183x213,183,213,1
183x220,183,220,1
184x119,184,119,1
184x257,184,257,1
184x370,184,370,1
184x500,184,500,1
185x120,185,120,1
185x127,185,127,1
185x185,185,185,1
186x140,186,140,1
186x207,186,207,1
187x187,187,187,1
187x207,187,207,1
187x250,187,250,1
188x159,188,159,1
188x188,188,188,2
188x210,188,210,1
1896x1316,1896,1316,1
1900x1266,1900,1266,1
190x109,190,109,1
190x127,190,127,1
190x143,190,143,1
190x150,190,150,1
190x170,190,170,1
190x177,190,177,1
190x186,190,186,1
190x190,190,190,1
190x260,190,260,1
190x282,190,282,1
190x285,190,285,1
191x500,191,500,1
1920x1080,1920,1080,1
1920x2560,1920,2560,1
1921x1367,1921,1367,1
192x128,192,128,2
192x150,192,150,1
192x230,192,230,1
192x244,192,244,1
1938x1065,1938,1065,1
193x267,193,267,1
193x500,193,500,2
1944x1296,1944,1296,1
194x161,194,161,1
194x167,194,167,1
194x297,194,297,1
194x500,194,500,1
1951x1411,1951,1411,1
195x130,195,130,1
195x242,195,242,2
195x300,195,300,1
196x225,196,225,1
196x240,196,240,1
196x262,196,262,1
197x136,197,136,1
197x200,197,200,1
197x500,197,500,1
1984x1488,1984,1488,1
198x185,198,185,1
198x195,198,195,1
198x198,198,198,1
198x200,198,200,2
198x253,198,253,1
198x258,198,258,1
198x286,198,286,1
198x311,198,311,1
198x90,198,90,1
199x188,199,188,1
199x199,199,199,1
2000x1333,2000,1333,1
2000x2000,2000,2000,1
200x120,200,120,1
200x121,200,121,1
200x132,200,132,2
200x133,200,133,3
200x137,200,137,1
200x141,200,141,1
200x142,200,142,2
200x143,200,143,1
200x144,200,144,1
200x148,200,148,1
200x149,200,149,1
200x150,200,150,16
200x152,200,152,1
200x154,200,154,1
200x155,200,155,1
200x160,200,160,3
200x165,200,165,2
200x174,200,174,1
200x175,200,175,2
200x177,200,177,1
200x178,200,178,1
200x181,200,181,1
200x182,200,182,1
200x183,200,183,1
200x190,200,190,1
200x191,200,191,1
200x195,200,195,1
200x198,200,198,3
200x199,200,199,1
200x200,200,200,26
200x202,200,202,1
200x203,200,203,1
200x210,200,210,1
200x212,200,212,1
200x217,200,217,2
200x233,200,233,1
200x235,200,235,1
200x240,200,240,1
200x242,200,242,1
200x243,200,243,1
200x247,200,247,2
200x250,200,250,1
200x257,200,257,1
200x260,200,260,1
200x262,200,262,1
200x268,200,268,1
200x276,200,276,1
200x281,200,281,1
200x295,200,295,1
200x300,200,300,1
200x302,200,302,1
200x313,200,313,1
200x320,200,320,1
200x364,200,364,1
200x406,200,406,1
2019x800,2019,800,1
201x151,201,151,1
201x152,201,152,1
201x300,201,300,1
201x320,201,320,1
202x134,202,134,1
2032x1524,2032,1524,1
203x300,203,300,1
2048x1536,2048,1536,10
2048x2166,2048,2166,1
204x135,204,135,2
204x137,204,137,1
204x150,204,150,1
204x194,204,194,1
2056x1543,2056,1543,1
2056x2040,2056,2040,1
2059x1406,2059,1406,1
205x130,205,130,1
205x280,205,280,1
205x302,205,302,1
2062x1605,2062,1605,1
206x140,206,140,1
206x289,206,289,1
206x300,206,300,1
206x500,206,500,1
207x234,207,234,1
207x240,207,240,1
207x250,207,250,1
208x134,208,134,1
209x177,209,177,1
209x320,209,320,1
2100x1395,2100,1395,1
2100x1500,2100,1500,1
210x137,210,137,1
210x190,210,190,1
210x210,210,210,3
210x222,210,222,1
210x280,210,280,1
210x325,210,325,1
210x500,210,500,2
211x142,211,142,1
211x178,211,178,1
211x240,211,240,1
211x300,211,300,1
211x350,211,350,1
2128x2832,2128,2832,1
212x141,212,141,1
212x148,212,148,1
213x150,213,150,1
213x290,213,290,1
213x296,213,296,1
213x299,213,299,1
2144x1814,2144,1814,1
2144x1908,2144,1908,1
2145x2953,2145,2953,1
214x214,214,214,1
214x500,214,500,1
216x120,216,120,1
216x143,216,143,1
216x173,216,173,1
216x192,216,192,1
216x216,216,216,2
216x241,216,241,1
216x270,216,270,1
216x288,216,288,2
216x331,216,331,1
216x332,216,332,1
216x407,216,407,1
216x500,216,500,1
217x162,217,162,1
217x273,217,273,1
2184x1632,2184,1632,1
218x124,218,124,1
218x211,218,211,1
218x277,218,277,1
218x296,218,296,1
219x130,219,130,1
219x156,219,156,1
219x171,219,171,1
219x176,219,176,1
219x300,219,300,1
219x330,219,330,1
2200x1192,2200,1192,1
220x159,220,159,1
220x165,220,165,1
220x180,220,180,1
220x188,220,188,1
220x197,220,197,1
220x198,220,198,1
220x200,220,200,1
220x220,220,220,5
220x285,220,285,1
220x293,220,293,1
220x304,220,304,1
220x330,220,330,1
220x497,220,497,1
2210x1628,2210,1628,1
221x216,221,216,1
221x378,221,378,1
221x400,221,400,1
221x660,221,660,1
222x152,222,152,1
222x155,222,155,1
222x222,222,222,1
222x285,222,285,1
222x333,222,333,1
222x580,222,580,1
223x153,223,153,1
223x231,223,231,1
2240x1488,2240,1488,1
224x240,224,240,1
224x258,224,258,1
224x320,224,320,1
224x380,224,380,1
2256x2362,2256,2362,1
225x137,225,137,1
225x152,225,152,1
225x169,225,169,1
225x176,225,176,1
225x194,225,194,1
225x217,225,217,1
225x225,225,225,3
225x255,225,255,1
225x300,225,300,2
225x342,225,342,1
225x353,225,353,1
225x460,225,460,1
226x179,226,179,1
226x195,226,195,1
226x202,226,202,1
226x227,226,227,1
226x500,226,500,2
2272x1704,2272,1704,7
227x167,227,167,1
227x170,227,170,1
227x337,227,337,1
2288x1712,2288,1712,1
228x222,228,222,1
228x304,228,304,1
228x320,228,320,1
229x357,229,357,1
2304x1728,2304,1728,1
230x205,230,205,1
230x212,230,212,2
230x230,230,230,2
230x259,230,259,1
230x340,230,340,1
2310x1354,2310,1354,1
2312x852,2312,852,1
231x158,231,158,1
231x238,231,238,1
231x300,231,300,1
231x500,231,500,1
2324x1612,2324,1612,1
2325x378,2325,378,1
232x299,232,299,1
233x291,233,291,1
233x350,233,350,6
233x443,233,443,1
233x500,233,500,1
234x291,234,291,1
234x375,234,375,1
2352x1432,2352,1432,1
235x160,235,160,1
235x235,235,235,2
235x314,235,314,1
235x500,235,500,1
236x500,236,500,1
237x316,237,316,1
237x350,237,350,1
238x286,238,286,1
238x355,238,355,1
239x179,239,179,2
239x229,239,229,1
239x300,239,300,1
239x320,239,320,1
239x400,239,400,1
2400x1760,2400,1760,1
2400x1800,2400,1800,1
2400x2185,2400,2185,1
240x135,240,135,1
240x145,240,145,1
240x150,240,150,2
240x156,240,156,2
240x159,240,159,3
240x160,240,160,14
240x161,240,161,2
240x168,240,168,1
240x170,240,170,1
240x171,240,171,1
240x176,240,176,1
240x177,240,177,1
240x180,240,180,31
240x181,240,181,1
240x182,240,182,1
240x183,240,183,1
240x184,240,184,1
240x198,240,198,1
240x200,240,200,1
240x205,240,205,1
240x221,240,221,1
240x227,240,227,1
240x236,240,236,1
240x240,240,240,6
240x254,240,254,1
240x300,240,300,1
240x318,240,318,1
240x320,240,320,4
240x333,240,333,1
240x345,240,345,2
240x361,240,361,1
240x500,240,500,1
2416x1860,2416,1860,1
241x196,241,196,1
241x225,241,225,1
241x281,241,281,1
241x289,241,289,1
241x300,241,300,1
242x259,242,259,1
242x300,242,300,1
242x500,242,500,1
243x399,243,399,1
2448x1632,2448,1632,1
244x160,244,160,1
244x178,244,178,1
244x227,244,227,1
244x374,244,374,1
245x181,245,181,1
245x327,245,327,1
246x206,246,206,1
246x249,246,249,1
247x267,247,267,1
247x350,247,350,2
247x377,247,377,1
247x443,247,443,1
247x500,247,500,1
248x316,248,316,1
248x333,248,333,1
249x167,249,167,1
249x187,249,187,1
249x217,249,217,1
249x350,249,350,1
249x500,249,500,1
2500x2000,2500,2000,1
250x120,250,120,1
250x128,250,128,1
250x143,250,143,1
250x147,250,147,1
250x158,250,158,1
250x160,250,160,1
250x162,250,162,2
250x166,250,166,3
250x167,250,167,3
250x168,250,168,1
250x169,250,169,2
250x176,250,176,1
250x177,250,177,1
250x180,250,180,1
250x182,250,182,1
250x184,250,184,1
250x185,250,185,1
250x187,250,187,5
250x188,250,188,5
250x195,250,195,1
250x197,250,197,2
250x198,250,198,1
250x199,250,199,1
250x200,250,200,3
250x201,250,201,1
250x207,250,207,1
250x211,250,211,2
250x219,250,219,1
250x221,250,221,1
250x223,250,223,1
250x243,250,243,1
250x245,250,245,1
250x250,250,250,18
250x253,250,253,1
250x259,250,259,1
250x261,250,261,1
250x263,250,263,1
250x271,250,271,1
250x278,250,278,1
250x286,250,286,1
250x298,250,298,2
250x300,250,300,2
250x301,250,301,1
250x327,250,327,1
250x333,250,333,2
250x342,250,342,1
250x372,250,372,1
250x375,250,375,2
250x389,250,389,1
250x395,250,395,1
250x438,250,438,1
250x500,250,500,1
2522x2082,2522,2082,1
252x158,252,158,1
252x175,252,175,1
252x189,252,189,1
252x196,252,196,1
252x257,252,257,1
252x360,252,360,2
252x500,252,500,1
2531x1577,2531,1577,1
253x380,253,380,4
254x152,254,152,1
254x232,254,232,1
254x258,254,258,1
254x500,254,500,1
2558x1560,2558,1560,1
2558x1916,2558,1916,1
255x172,255,172,1
255x244,255,244,1
255x284,255,284,1
255x500,255,500,1
2560x1920,2560,1920,1
256x170,256,170,1
256x192,256,192,1
256x341,256,341,1
256x384,256,384,1
256x500,256,500,1
2576x1952,2576,1952,1
257x180,257,180,1
257x235,257,235,1
257x252,257,252,1
257x340,257,340,1
257x352,257,352,1
257x428,257,428,1
258x298,258,298,1
2592x3872,2592,3872,1
2592x3888,2592,3888,1
259x148,259,148,1
260x170,260,170,1
260x178,260,178,1
260x260,260,260,2
260x320,260,320,1
260x378,260,378,1
260x425,260,425,1
261x169,261,169,1
261x193,261,193,1
261x389,261,389,1
261x444,261,444,1
262x150,262,150,1
262x206,262,206,1
262x250,262,250,1
262x350,262,350,1
263x175,263,175,1
263x230,263,230,1
263x350,263,350,2
264x184,264,184,1
264x400,264,400,1
265x190,265,190,1
265x192,265,192,1
265x350,265,350,1
265x388,265,388,1
265x400,265,400,1
266x258,266,258,1
266x354,266,354,1
266x400,266,400,3
267x199,267,199,1
267x200,267,200,2
267x356,267,356,1
267x400,267,400,3
267x410,267,410,1
268x136,268,136,1
268x163,268,163,1
268x222,268,222,1
268x400,268,400,1
269x180,269,180,1
2700x1590,2700,1590,1
270x165,270,165,1
270x182,270,182,1
270x203,270,203,1
270x221,270,221,1
270x250,270,250,1
270x270,270,270,5
270x287,270,287,1
270x400,270,400,1
271x237,271,237,1
271x300,271,300,1
271x320,271,320,1
271x400,271,400,1
271x480,271,480,1
271x500,271,500,2
271x700,271,700,1
272x181,272,181,1
272x182,272,182,1
272x307,272,307,1
272x308,272,308,1
272x420,272,420,1
273x206,273,206,1
273x399,273,399,1
273x400,273,400,1
273x640,273,640,1
274x320,274,320,2
274x400,274,400,1
275x103,275,103,1
275x166,275,166,1
275x220,275,220,1
275x243,275,243,1
275x262,275,262,1
275x275,275,275,2
275x277,275,277,1
275x290,275,290,1
275x303,275,303,1
275x402,275,402,1
275x413,275,413,1
276x200,276,200,1
276x265,276,265,1
276x400,276,400,1
277x200,277,200,1
277x277,277,277,1
277x336,277,336,1
277x400,277,400,2
277x500,277,500,2
278x267,278,267,1
278x400,278,400,1
278x500,278,500,2
279x190,279,190,1
279x344,279,344,1
279x397,279,397,1
279x500,279,500,2
280x130,280,130,1
280x150,280,150,1
280x160,280,160,1
280x184,280,184,1
280x185,280,185,1
280x186,280,186,1
280x190,280,190,1
280x200,280,200,1
280x210,280,210,3
280x257,280,257,1
280x277,280,277,1
280x280,280,280,18
280x300,280,300,1
280x368,280,368,1
280x411,280,411,1
280x420,280,420,1
2816x2112,2816,2112,2
281x272,281,272,1
281x345,281,345,1
281x500,281,500,4
282x125,282,125,1
282x232,282,232,1
282x239,282,239,1
282x301,282,301,1
282x302,282,302,1
282x420,282,420,1
282x500,282,500,3
283x212,283,212,1
283x213,283,213,2
283x233,283,233,1
283x425,283,425,1
283x500,283,500,2
2848x2136,2848,2136,1
2848x2144,2848,2144,1
284x149,284,149,1
284x350,284,350,1
285x207,285,207,1
285x500,285,500,1
286x134,286,134,1
286x192,286,192,1
286x222,286,222,1
286x249,286,249,1
286x254,286,254,1
287x400,287,400,1
287x500,287,500,1
288x130,288,130,1
288x187,288,187,2
288x198,288,198,1
288x223,288,223,1
288x232,288,232,1
288x233,288,233,1
288x248,288,248,1
288x257,288,257,1
288x298,288,298,1
288x341,288,341,1
288x345,288,345,1
288x352,288,352,1
288x384,288,384,1
288x432,288,432,1
288x450,288,450,1
289x431,289,431,1
289x500,289,500,2
289x580,289,580,1
289x652,289,652,1
2900x2175,2900,2175,1
290x194,290,194,1
290x226,290,226,1
290x236,290,236,1
290x255,290,255,1
290x258,290,258,1
290x270,290,270,1
290x400,290,400,1
290x433,290,433,1
290x500,290,500,1
290x682,290,682,1
291x289,291,289,1
291x500,291,500,2
292x190,292,190,1
292x252,292,252,1
292x436,292,436,1
292x500,292,500,2
292x564,292,564,1
293x385,293,385,1
293x500,293,500,1
294x234,294,234,1
294x360,294,360,1
294x380,294,380,1
294x386,294,386,1
294x412,294,412,1
294x425,294,425,1
294x500,294,500,2
2958x2048,2958,2048,1
295x198,295,198,1
295x402,295,402,1
295x500,295,500,3
295x501,295,501,1
295x578,295,578,1
296x188,296,188,1
296x400,296,400,1
296x412,296,412,1
296x500,296,500,1
297x453,297,453,1
297x456,297,456,1
297x500,297,500,1
298x450,298,450,1
298x500,298,500,2
299x216,299,216,1
299x217,299,217,2
299x243,299,243,1
299x299,299,299,1
299x320,299,320,1
299x380,299,380,1
299x448,299,448,1
299x450,299,450,2
3008x2000,3008,2000,1
300x129,300,129,1
300x151,300,151,1
300x172,300,172,1
300x174,300,174,2
300x180,300,180,1
300x182,300,182,2
300x186,300,186,1
300x188,300,188,1
300x189,300,189,1
300x190,300,190,1
300x198,300,198,3
300x199,300,199,1
300x200,300,200,6
300x201,300,201,3
300x205,300,205,1
300x207,300,207,1
300x215,300,215,1
300x217,300,217,1
300x220,300,220,1
300x221,300,221,1
300x222,300,222,2
300x223,300,223,1
300x224,300,224,2
300x225,300,225,19
300x226,300,226,2
300x227,300,227,1
300x236,300,236,1
300x237,300,237,1
300x239,300,239,1
300x240,300,240,2
300x242,300,242,1
300x247,300,247,1
300x249,300,249,1
300x250,300,250,3
300x253,300,253,1
300x254,300,254,1
300x258,300,258,1
300x260,300,260,1
300x264,300,264,1
300x265,300,265,2
300x269,300,269,2
300x270,300,270,2
300x271,300,271,1
300x274,300,274,1
300x276,300,276,1
300x278,300,278,2
300x280,300,280,1
300x281,300,281,1
300x287,300,287,2
300x294,300,294,1
300x295,300,295,1
300x298,300,298,1
300x299,300,299,1
300x300,300,300,28
300x302,300,302,1
300x303,300,303,1
300x316,300,316,1
300x317,300,317,1
300x318,300,318,1
300x330,300,330,1
300x334,300,334,1
300x343,300,343,1
300x350,300,350,2
300x363,300,363,1
300x367,300,367,1
300x369,300,369,1
300x378,300,378,1
300x379,300,379,1
300x385,300,385,1
300x388,300,388,1
300x400,300,400,23
300x401,300,401,1
300x403,300,403,1
300x421,300,421,2
300x431,300,431,2
300x450,300,450,4
300x453,300,453,1
300x469,300,469,1
300x470,300,470,2
300x500,300,500,2
300x520,300,520,1
300x523,300,523,1
300x544,300,544,1
300x574,300,574,1
300x599,300,599,1
300x694,300,694,1
300x78,300,78,1
301x195,301,195,1
301x229,301,229,1
301x331,301,331,1
301x470,301,470,3
302x305,302,305,1
302x500,302,500,4
303x225,303,225,1
303x228,303,228,1
303x282,303,282,1
303x500,303,500,1
304x285,304,285,1
304x380,304,380,1
304x448,304,448,1
304x500,304,500,1
305x170,305,170,1
305x228,305,228,1
305x291,305,291,1
305x360,305,360,1
305x376,305,376,1
305x391,305,391,1
305x400,305,400,2
305x432,305,432,1
305x471,305,471,1
305x500,305,500,1
306x204,306,204,1
306x208,306,208,1
306x284,306,284,1
306x500,306,500,2
306x633,306,633,1
3072x2048,3072,2048,2
3072x2304,3072,2304,1
307x231,307,231,1
307x279,307,279,1
307x400,307,400,2
307x450,307,450,1
307x500,307,500,1
307x519,307,519,1
308x173,308,173,1
308x263,308,263,1
308x333,308,333,1
308x410,308,410,1
308x500,308,500,1
308x510,308,510,1
309x350,309,350,1
309x500,309,500,1
310x207,310,207,1
310x242,310,242,1
310x248,310,248,1
310x263,310,263,1
310x291,310,291,1
310x310,310,310,1
310x330,310,330,1
310x500,310,500,1
310x586,310,586,1
311x207,311,207,1
311x400,311,400,1
311x415,311,415,1
311x425,311,425,1
311x500,311,500,2
312x208,312,208,1
312x254,312,254,1
312x309,312,309,1
312x312,312,312,1
312x600,312,600,1
313x400,313,400,1
313x500,313,500,4
314x230,314,230,1
314x235,314,235,2
314x500,314,500,2
314x570,314,570,1
315x214,315,214,1
315x234,315,234,1
315x421,315,421,1
315x500,315,500,1
316x187,316,187,1
316x234,316,234,1
316x386,316,386,1
316x400,316,400,1
316x500,316,500,3
316x616,316,616,1
317x380,317,380,1
317x440,317,440,1
317x500,317,500,2
318x350,318,350,1
318x500,318,500,2
319x296,319,296,1
319x388,319,388,1
319x425,319,425,1
319x480,319,480,1
319x500,319,500,3
3200x3484,3200,3484,1
320x178,320,178,1
320x179,320,179,1
320x190,320,190,1
320x198,320,198,1
320x205,320,205,1
320x213,320,213,2
320x215,320,215,1
320x240,320,240,28
320x244,320,244,1
320x262,320,262,1
320x265,320,265,1
320x268,320,268,2
320x278,320,278,1
320x300,320,300,1
320x306,320,306,1
320x320,320,320,2
320x326,320,326,1
320x414,320,414,1
320x480,320,480,6
320x500,320,500,5
320x540,320,540,1
321x295,321,295,1
321x305,321,305,1
321x480,321,480,1
322x215,322,215,1
322x227,322,227,1
322x500,322,500,2
323x410,323,410,1
323x500,323,500,4
324x203,324,203,1
324x243,324,243,1
324x271,324,271,1
324x400,324,400,1
324x432,324,432,2
324x480,324,480,2
324x500,324,500,5
325x189,325,189,1
325x211,325,211,1
325x217,325,217,1
325x244,325,244,2
325x295,325,295,1
325x325,325,325,3
325x330,325,330,1
325x453,325,453,1
325x480,325,480,1
325x500,325,500,4
326x178,326,178,1
326x243,326,243,1
326x279,326,279,1
326x287,326,287,1
326x387,326,387,1
326x498,326,498,1
326x500,326,500,10
327x327,327,327,1
327x400,327,400,1
327x500,327,500,2
